numchildren,CC22_300d_3,CC22_300d_1,CC22_300d_4,CC22_300d_6,CC22_300d_5,CC22_300d_2,CC22_309f,hispanic,CC22_300b_7,CC22_302,pew_religimp,faminc_new,CC22_327a,transgender,urbancity,employ,CC22_360,CC22_300b_8,gender4,CC22_303,CC22_320a,CC22_300b_2,ideo5,gunown,sexuality,CC22_300b_6,CC22_309e,marstat,CC22_300b_4,CC22_320b,CC22_304,CC22_320c,industry,educ,race,CC22_300b_1,CC22_333,religpew,CC22_300b_3,presvote20post,presvote16post,CC22_300b_5,CC22_306,investor
0.11148184735741262,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,10.0,1.0,2.0,2,1.0,2.0,2.0,2,3.0,1,1.0,6,3.0,1.0,2.0,3.0,1.0,2.0,5.0,2.0,5.0,12.0,3,1,1.0,2.0,12,2.0,1.0,7.0,2.0,2.0,1.0
3.919428640113866,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,97.0,1.0,2.0,2,1.0,1.0,2.0,2,3.0,0,2.0,3,1.0,1.0,2.0,4.0,5.0,1.0,5.0,2.0,4.0,10.0,5,1,2.0,2.0,4,1.0,4.0,7.0,2.0,2.0,2.0
3.691454641651391,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,10.0,1.0,2.0,2,2.0,2.0,2.0,1,3.0,1,2.0,2,3.0,4.0,2.0,4.0,3.0,2.0,5.0,1.0,4.0,9.0,2,2,2.0,5.0,1,2.0,6.0,7.0,2.0,1.0,1.0
3.3052490928091016,2.0,2.0,2.0,1.0,2.0,2.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1,2.0,1.0,2.0,2,3.0,0,1.0,2,3.0,1.0,2.0,3.0,5.0,1.0,5.0,1.0,5.0,6.0,2,2,1.0,4.0,1,1.0,3.0,7.0,1.0,2.0,1.0
3.422067431316411,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,8.0,1.0,2.0,2,5.0,1.0,2.0,2,3.0,1,2.0,2,3.0,1.0,2.0,1.0,5.0,2.0,5.0,2.0,5.0,10.0,2,2,1.0,1.0,1,1.0,1.0,7.0,2.0,2.0,2.0
3.366134668128945,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,5.0,1.0,2.0,1,3.0,2.0,2.0,2,3.0,1,2.0,3,2.0,4.0,2.0,2.0,5.0,2.0,5.0,2.0,5.0,8.0,6,1,1.0,1.0,2,1.0,1.0,1.0,2.0,1.0,2.0
2.7171278057918555,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,5.0,2.0,97.0,1.0,2.0,1,2.0,1.0,1.0,1,3.0,1,1.0,4,2.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,15.0,2,1,1.0,1.0,1,2.0,1.0,7.0,2.0,1.0,2.0
3.891019089831358,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,5.0,4.0,3.0,1.0,2.0,1,7.0,2.0,1.0,2,4.0,1,1.0,2,3.0,1.0,2.0,4.0,3.0,1.0,5.0,1.0,5.0,16.0,3,8,1.0,1.0,11,2.0,6.0,7.0,2.0,2.0,2.0
2.4929537853671655,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,12.0,1.0,2.0,2,5.0,2.0,2.0,2,1.0,0,2.0,6,3.0,1.0,2.0,3.0,1.0,2.0,5.0,1.0,1.0,8.0,2,1,1.0,5.0,11,2.0,5.0,7.0,2.0,4.0,2.0
3.111239719937846,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.0,2.0,7.0,1.0,2.0,2,2.0,2.0,2.0,2,3.0,1,2.0,6,3.0,1.0,1.0,4.0,1.0,2.0,5.0,1.0,5.0,3.0,3,4,2.0,4.0,1,1.0,1.0,7.0,2.0,1.0,1.0
3.443953518117941,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,6.0,1.0,3.0,2.0,2.0,1,8.0,2.0,2.0,2,3.0,1,1.0,6,1.0,1.0,2.0,3.0,1.0,2.0,5.0,2.0,5.0,10.0,3,2,1.0,1.0,2,1.0,1.0,7.0,2.0,1.0,1.0
