Expert Handcoded GLM,Naive GLM,Baseline,Large Population Model
-1.0485502005027203,-1.0641751763339584,-1.438867107761039,-0.8839168836861471
-1.0485502005027203,-1.0641751763339584,-1.438867107761039,-1.4491898530671723
-3.0192464497860074,-2.5674201802484364,-0.7496234503281557,-0.3892116900780018
-2.7338543286050556,-2.6146543264710322,-2.8007430089345884,-2.3438856949004667
-2.4412180982814204,-2.5805079635709216,-3.589787921181615,-2.1379511501676105
-1.0485502005027203,-1.0641751763339584,-1.438867107761039,-1.2184472972182685
-3.0192464497860074,-2.5674201802484364,-0.7496234503281557,-0.4029671673184576
-3.0192464497860074,-2.5674201802484364,-0.7496234503281557,-0.35758839229007755
-3.0192464497860074,-2.5674201802484364,-0.7496234503281557,-0.35103320507643687
-3.0192464497860074,-2.5674201802484364,-0.7496234503281557,-2.9227870936081866
-3.0192464497860074,-2.5674201802484364,-0.7496234503281557,-0.35078159736134396
-3.0192464497860074,-2.5674201802484364,-0.7496234503281557,-0.35313645955803885
-1.0485502005027203,-1.0641751763339584,-1.438867107761039,-1.6860579557052762
-3.0192464497860074,-2.5674201802484364,-0.7496234503281557,-0.3506931370299524
-0.8746161536059658,-0.906282061638422,-1.6674559135116958,-0.9689535318558309
-3.0192464497860074,-2.5674201802484364,-0.7496234503281557,-0.42126814394510914
-3.0192464497860074,-2.5674201802484364,-0.7496234503281557,-0.3609872432452832
-1.0485502005027203,-1.0641751763339584,-1.438867107761039,-0.7670909087647737
-1.0485502005027203,-1.0641751763339584,-1.438867107761039,-1.6879834425992035
-3.0192464497860074,-2.5674201802484364,-0.7496234503281557,-0.3957700981338559
-1.0485502005027203,-1.0641751763339584,-1.438867107761039,-0.8839168836861471
-3.0192464497860074,-2.5674201802484364,-0.7496234503281557,-0.35183137217264315
-0.8746161536059658,-0.906282061638422,-1.6674559135116958,-1.1184625133694648
-1.0485502005027203,-1.0641751763339584,-1.438867107761039,-1.6957346808086773
-0.8746161536059658,-0.906282061638422,-1.6674559135116958,-0.9115802195442182
-3.0192464497860074,-2.5674201802484364,-0.7496234503281557,-0.352208491397378
-3.0192464497860074,-2.5674201802484364,-0.7496234503281557,-0.445091305126025
-2.7338543286050556,-2.6146543264710322,-2.8007430089345884,-2.89015739782444
-3.0192464497860074,-2.5674201802484364,-0.7496234503281557,-0.3643509769923208
-3.0192464497860074,-2.5674201802484364,-0.7496234503281557,-0.3609872432452832
-3.0192464497860074,-2.5674201802484364,-0.7496234503281557,-0.3892116900780018
-0.8746161536059658,-0.906282061638422,-1.6674559135116958,-0.5935005585210149
